id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity
212,Honestly it helped slightly but not completely and I wasn't expecting that.,cafe,10,5,5,2,evening,calm,tense_face,conflicted,mixed,1
213,"At first some moments felt peaceful, others not and I just observed it.",cafe,10,7,1,2,night,restless,tired_face,clear,mixed,4
214,By teh end I didn't notice strong emotions and I just observed it.,rain,25,6,2,2,morning,restless,tired_face,conflicted,neutral,2
215,Honestly my mood shifted back and forth which surprised me.,mountain,10,8,5,5,night,calm,neutral_face,vague,mixed,1
216,i noticed the tension eased a bit before moving on.,ocean,18,4,5,5,afternoon,mixed,tired_face,clear,calm,5
217,Gradually my thoughts were jumping around but it didn't last long.,ocean,8,8,5,5,morning,overwhelmed,calm_face,conflicted,restless,4
218,After a few minutes I kept thinking about other tasks and I just observed it.,rain,25,8,3,2,morning,restless,none,clear,restless,4
219,Strangely I felt a little calmer but still distracted and I just observed it. ...,mountain,10,4,2,1,evening,restless,happy_face,vague,mixed,3
220,During the session things felt more peaceful which surprised me.,ocean,12,7,4,4,night,restless,tired_face,conflicted,calm,4
221,during the session my mind kept wandering and i tried to notice it.,cafe,18,6,3,1,morning,restless,tense_face,vague,restless,5
222,Strangely it helped slightly but not completely though I'm not sure why.,mountain,18,7,3,1,morning,mixed,tense_face,conflicted,mixed,2
223,gradually my mind became quiet which surprised me.,ocean,12,7,5,1,afternoon,mixed,tense_face,vague,calm,4
224,Strangely the tension eased a bit though I'm not sure why.,cafe,8,4,2,4,night,neutral,tense_face,conflicted,calm,4
225,during the session i organized my ideas better so i sat with that feeling.,cafe,20,7,1,3,evening,mixed,,conflicted,focused,3
226,Strangely I kept thinking about other tasks even if only briefly.,ocean,10,7,1,3,evening,overwhelmed,happy_face,clear,restless,5
227,During the session my mind became quiet before moving on.,forest,8,5,3,1,night,overwhelmed,tense_face,clear,calm,5
228,Strangely I felt a little calmer but still distracted and I tried to notice it.,cafe,18,5,3,2,afternoon,restless,neutral_face,vague,mixed,5
229,During the session I couldn't sit still mentally even if only briefly.,forest,8,8,2,5,afternoon,focused,none,conflicted,restless,3
230,After a few minutes nothing really changed which surprised me.,forest,10,8,4,5,morning,overwhelmed,happy_face,vague,neutral,3
231,i noticed teh pressure didn't really go away before moving on.,ocean,15,7,2,3,afternoon,restless,tense_face,conflicted,overwhelmed,3
232,for some reason i felt mentally drained even if only briefly.,ocean,15,5,2,1,morning,restless,happy_face,vague,overwhelmed,2
233,Gradually I could finally concentrate so I sat with that feeling.,rain,15,6,4,1,morning,overwhelmed,neutral_face,clear,focused,5
234,After a few minutes I kept thinking about other tasks before moving on.,forest,12,8,1,1,night,focused,none,vague,restless,4
235,I noticed my mind kept wandering for a moment.,forest,15,8,4,5,evening,neutral,calm_face,clear,restless,1
236,For some reason I felt mentally drained though I'm not sure why.,rain,18,4,1,1,afternoon,mixed,tired_face,conflicted,overwhelmed,4
237,At one point I started planning my day though I'm not sure why.,cafe,18,6,5,3,night,mixed,tired_face,clear,focused,3
238,I noticed I felt distracted and I wasn't expecting that.,forest,8,8,4,3,afternoon,mixed,,vague,restless,2
239,i noticed it felt like a normal moment so i sat with that feeling.,cafe,8,7,3,4,afternoon,overwhelmed,tired_face,conflicted,neutral,5
240,Strangely I felt mentally drained so I sat with that feeling.,forest,15,6,2,4,evening,neutral,none,conflicted,overwhelmed,3
241,By the end it felt like a normal moment and I wasn't expecting that.,mountain,12,6,2,4,evening,overwhelmed,none,vague,neutral,3
242,At one point my mind became quiet and I tried to notice it.,cafe,12,4,3,1,evening,overwhelmed,none,vague,calm,2
243,during the session my attention improved and i wasn't expecting that.,cafe,10,4,5,2,afternoon,calm,tense_face,conflicted,focused,4
244,After a few minutes the tension eased a bit but it didn't last long.,ocean,15,5,3,3,evening,mixed,,clear,calm,5
245,After a few minutes I started planning my day and I tried to notice it.,cafe,25,7,4,2,evening,calm,,conflicted,focused,5
246,During the session my mind became quiet even if only briefly.,rain,18,7,3,2,morning,restless,tired_face,conflicted,calm,3
247,"After a few minutes some moments felt peaceful, others not and I wasn't expecting that.",ocean,25,7,4,5,evening,calm,calm_face,clear,mixed,2
248,By the end everything still felt heavy and I wasn't expecting that.,rain,12,6,5,5,morning,restless,none,clear,overwhelmed,1
249,"Honestly some moments felt peaceful, others not but it didn't last long.",forest,20,6,1,3,evening,neutral,neutral_face,vague,mixed,2
250,For some reason I couldn't relax much even if only briefly.,cafe,25,5,2,5,morning,neutral,none,vague,overwhelmed,1
251,After a few minutes things felt ordinary even if only briefly.,forest,25,8,4,1,afternoon,mixed,calm_face,conflicted,neutral,4
252,Strangely teh tension eased a bit and I tried to notice it.,mountain,25,6,1,4,evening,calm,happy_face,clear,calm,1
253,At first I felt mentally drained which surprised me.,rain,8,6,4,2,afternoon,mixed,none,vague,overwhelmed,3
254,I noticed I couldn't relax much and I just observed it.,mountain,20,6,1,2,night,neutral,neutral_face,clear,overwhelmed,1
255,At one point my thoughts were jumping around even if only briefly.,mountain,10,6,2,1,morning,mixed,calm_face,clear,restless,2
256,Gradually my breathing slowed down before moving on. ...,forest,20,4,4,4,afternoon,neutral,calm_face,clear,calm,5
257,Gradually I kept thinking about other tasks for a moment.,ocean,12,5,5,2,night,restless,happy_face,conflicted,restless,2
258,At one point it helped slightly but not completely which surprised me.,mountain,25,8,3,4,night,focused,neutral_face,conflicted,mixed,4
259,During the session I started planning my day before moving on.,ocean,18,8,2,4,afternoon,restless,none,clear,focused,4
260,At one point I couldn't sit still mentally which surprised me.,forest,25,4,2,5,afternoon,overwhelmed,tense_face,vague,restless,1
261,At first I organized my ideas better so I sat with that feeling.,ocean,10,8,3,3,night,overwhelmed,tense_face,vague,focused,3
262,Honestly my thoughts were jumping around and I just observed it.,cafe,12,5,3,3,night,calm,neutral_face,conflicted,restless,2
263,At one point the tension eased a bit for a moment.,rain,10,7,5,2,night,neutral,none,vague,calm,3
264,honestly my mind felt crowded though i'm not sure why.,mountain,18,4,5,1,morning,mixed,,clear,overwhelmed,4
265,At first I started planning my day which surprised me. ...,ocean,20,8,4,4,morning,calm,tired_face,clear,focused,1
266,At one point the session passed quietly which surprised me.,rain,10,4,1,5,afternoon,focused,happy_face,vague,neutral,3
267,At first I kept thinking about other tasks and I tried to notice it.,mountain,12,4,1,1,night,overwhelmed,tired_face,clear,restless,1
268,At first it helped slightly but not completely and I tried to notice it.,ocean,8,8,1,2,afternoon,mixed,tired_face,vague,mixed,1
269,at one point the tension eased a bit which surprised me. ...,rain,10,8,2,4,morning,restless,neutral_face,conflicted,calm,4
270,For some reason it helped slightly but not completely but it didn't last long. ...,cafe,20,6,1,1,night,focused,tense_face,conflicted,mixed,5
271,For some reason nothing really changed and I wasn't expecting that.,mountain,18,7,4,2,night,calm,tense_face,clear,neutral,1
272,Strangely my mind became quiet but it didn't last long.,rain,8,6,4,3,evening,calm,neutral_face,vague,calm,4
273,at one point i didn't notice strong emotions and i just observed it. ...,cafe,18,6,4,1,evening,overwhelmed,calm_face,conflicted,neutral,5
274,at one point i started planning my day and i tried to notice it.,cafe,10,4,2,4,evening,overwhelmed,calm_face,vague,focused,3
275,Gradually my attention improved so I sat with that feeling. ...,mountain,15,6,5,4,evening,overwhelmed,none,conflicted,focused,2
276,Gradually I couldn't sit still mentally before moving on.,rain,12,7,5,2,evening,overwhelmed,tired_face,vague,restless,1
277,Gradually things felt ordinary but it didn't last long.,ocean,15,5,4,3,morning,overwhelmed,neutral_face,conflicted,neutral,3
278,strangely i organized my ideas better and i tried to notice it.,rain,15,8,5,4,morning,restless,happy_face,conflicted,focused,1
279,for some reason my thoughts felt lighter for a moment.,ocean,15,6,4,1,morning,calm,happy_face,conflicted,calm,5
280,Gradually it felt like a normal moment before moving on.,cafe,20,8,2,3,morning,overwhelmed,tired_face,clear,neutral,1
281,"For some reason some moments felt peaceful, others not though I'm not sure why.",ocean,15,4,4,4,evening,calm,none,clear,mixed,1
282,strangely i couldn't sit still mentally even if only briefly.,forest,15,5,4,2,afternoon,mixed,tired_face,clear,restless,5
283,gradually i organized my ideas better and i tried to notice it.,mountain,20,4,5,1,afternoon,restless,tired_face,clear,focused,3
284,"At one point some moments felt peaceful, others not for a moment.",mountain,12,7,5,2,evening,neutral,none,clear,mixed,3
285,During teh session my breathing slowed down but it didn't last long.,ocean,18,5,5,4,night,focused,happy_face,conflicted,calm,2
286,honestly the session passed quietly but it didn't last long.,ocean,25,6,1,4,afternoon,focused,happy_face,conflicted,neutral,4
287,i noticed i couldn't relax much before moving on.,mountain,10,6,1,3,afternoon,neutral,tired_face,conflicted,overwhelmed,4
288,At first things felt ordinary and I just observed it.,cafe,18,4,4,5,afternoon,overwhelmed,none,clear,neutral,3
289,During the session things felt more peaceful and I just observed it.,mountain,10,5,5,3,night,focused,neutral_face,clear,calm,1
290,At one point the session passed quietly for a moment.,rain,12,8,3,5,morning,focused,tired_face,clear,neutral,3
291,Strangely I felt a little calmer but still distracted but it didn't last long.,ocean,20,7,4,2,evening,mixed,tired_face,clear,mixed,1
292,During the session the pressure didn't really go away before moving on. ...,cafe,25,4,4,3,morning,neutral,tired_face,clear,overwhelmed,4
293,During the session I kept thinking about other tasks even if only briefly.,rain,12,4,1,1,night,calm,neutral_face,vague,restless,4
294,by the end my thoughts felt lighter and i wasn't expecting that.,mountain,20,6,3,1,evening,mixed,neutral_face,clear,calm,4
295,By teh end it helped slightly but not completely and I just observed it.,rain,10,8,2,5,night,calm,,vague,mixed,1
296,Honestly everything still felt heavy so I sat with that feeling.,ocean,12,6,3,2,night,focused,none,clear,overwhelmed,1
297,After a few minutes things felt ordinary but it didn't last long.,cafe,10,7,5,4,afternoon,calm,neutral_face,clear,neutral,5
298,For some reason it helped slightly but not completely though I'm not sure why.,mountain,10,8,5,5,evening,mixed,,conflicted,mixed,3
299,Gradually my attention improved so I sat with that feeling. ...,cafe,25,5,4,4,morning,focused,happy_face,clear,focused,5
300,For some reason my thoughts felt lighter and I tried to notice it.,rain,20,5,4,1,morning,neutral,,vague,calm,2
301,I noticed the tension eased a bit and I wasn't expecting that.,forest,20,7,1,5,afternoon,restless,,clear,calm,5
302,At one point I could finally concentrate and I tried to notice it.,ocean,20,4,3,4,afternoon,calm,tired_face,clear,focused,4
303,after a few minutes the session passed quietly but it didn't last long.,cafe,10,7,3,5,evening,focused,none,vague,neutral,1
304,i noticed things felt more peaceful even if only briefly.,rain,8,7,4,5,evening,calm,happy_face,clear,calm,3
305,At first my attention improved and I just observed it. ...,rain,25,4,2,1,night,restless,neutral_face,clear,focused,1
306,By the end the session passed quietly so I sat with that feeling.,mountain,8,8,3,1,morning,focused,happy_face,clear,neutral,4
307,during the session things felt more peaceful though i'm not sure why.,mountain,12,8,3,5,afternoon,overwhelmed,tired_face,clear,calm,5
308,After a few minutes I organized my ideas better which surprised me.,ocean,8,6,1,4,evening,calm,neutral_face,vague,focused,4
309,During the session my breathing slowed down which surprised me.,ocean,20,6,4,1,morning,neutral,tired_face,clear,calm,5
310,I noticed it felt like a normal moment so I sat with that feeling.,forest,15,6,3,4,evening,focused,,clear,neutral,2
311,Strangely nothing really changed but it didn't last long.,forest,12,5,4,3,night,restless,calm_face,clear,neutral,3
312,after a few minutes i felt a little calmer but still distracted though i'm not sure why.,cafe,15,8,1,3,evening,focused,,vague,mixed,4
313,by the end nothing really changed before moving on.,cafe,8,5,2,2,night,restless,none,clear,neutral,5
314,at first nothing really changed and i just observed it.,rain,8,6,1,1,night,calm,happy_face,vague,neutral,4
315,I noticed I couldn't relax much but it didn't last long.,forest,15,5,1,5,afternoon,mixed,tired_face,conflicted,overwhelmed,4
316,During the session my mind became quiet but it didn't last long.,forest,10,8,1,4,evening,overwhelmed,tired_face,vague,calm,5
317,i noticed the session passed quietly but it didn't last long. ...,rain,25,6,1,4,evening,neutral,neutral_face,clear,neutral,2
318,During the session my mood shifted back and forth which surprised me.,ocean,25,7,3,2,afternoon,focused,none,conflicted,mixed,3
319,for some reason things felt ordinary for a moment.,forest,25,7,5,3,afternoon,overwhelmed,,clear,neutral,2
320,after a few minutes things felt ordinary before moving on.,ocean,10,6,2,3,morning,calm,none,clear,neutral,1
321,At first the session passed quietly and I tried to notice it.,rain,10,7,4,3,afternoon,mixed,none,conflicted,neutral,3
322,Strangely I organized my ideas better and I wasn't expecting that.,cafe,8,8,4,5,morning,focused,happy_face,clear,focused,5
323,Strangely things felt more peaceful and I just observed it.,mountain,8,6,4,1,evening,focused,calm_face,vague,calm,3
324,After a few minutes my mind became quiet before moving on.,forest,15,7,3,5,night,calm,happy_face,conflicted,calm,2
325,at first my thoughts became clearer and i wasn't expecting that.,mountain,12,5,4,2,morning,neutral,calm_face,vague,focused,5
326,After a few minutes I didn't notice strong emotions but it didn't last long. ...,mountain,12,5,2,4,evening,mixed,neutral_face,clear,neutral,1
327,at one point i couldn't relax much but it didn't last long. ...,cafe,25,8,4,2,morning,calm,none,vague,overwhelmed,1
328,During the session I couldn't relax much before moving on. ...,forest,18,7,2,3,night,restless,calm_face,vague,overwhelmed,4
329,by the end the pressure didn't really go away for a moment.,rain,8,6,5,4,afternoon,neutral,,vague,overwhelmed,5
330,Honestly I felt mentally drained so I sat with that feeling.,cafe,20,4,5,5,afternoon,calm,tired_face,clear,overwhelmed,2
331,strangely my thoughts became clearer and i tried to notice it.,ocean,25,5,5,3,evening,mixed,calm_face,clear,focused,4
332,At one point the session passed quietly and I wasn't expecting that. ...,mountain,20,8,5,5,night,calm,neutral_face,conflicted,neutral,5
333,At first things felt ordinary and I just observed it.,forest,15,6,4,4,night,calm,tired_face,clear,neutral,5
334,After a few minutes I didn't notice strong emotions though I'm not sure why.,mountain,12,6,1,3,evening,restless,tired_face,conflicted,neutral,1
335,During the session I organized my ideas better though I'm not sure why.,ocean,10,7,2,4,night,neutral,calm_face,conflicted,focused,2
336,At one point my mind became quiet but it didn't last long.,rain,10,5,2,1,afternoon,calm,tense_face,conflicted,calm,2
337,Honestly I felt distracted and I tried to notice it. ...,rain,12,7,5,4,afternoon,overwhelmed,tense_face,vague,restless,2
338,during the session my mind kept wandering and i tried to notice it.,forest,10,5,2,2,evening,mixed,calm_face,conflicted,restless,1
339,Strangely I felt mentally drained which surprised me.,ocean,20,6,4,4,evening,overwhelmed,tired_face,vague,overwhelmed,5
340,Gradually nothing really changed which surprised me.,mountain,12,8,5,5,evening,restless,tired_face,clear,neutral,3
341,during the session i kept thinking about other tasks and i wasn't expecting that.,rain,8,8,4,3,afternoon,mixed,,vague,restless,3
342,I noticed my thoughts were jumping around which surprised me.,mountain,12,5,5,4,evening,neutral,neutral_face,conflicted,restless,5
343,At first I organized my ideas better but it didn't last long.,rain,10,6,1,2,evening,focused,tense_face,vague,focused,3
344,Gradually I kept thinking about other tasks before moving on.,rain,18,8,5,1,night,focused,none,vague,restless,5
345,After a few minutes I couldn't sit still mentally but it didn't last long.,mountain,15,5,3,2,morning,overwhelmed,neutral_face,vague,restless,1
346,During the session my thoughts felt lighter but it didn't last long.,mountain,25,4,2,5,night,mixed,tired_face,vague,calm,4
347,At one point my thoughts felt lighter though I'm not sure why.,forest,18,5,1,1,afternoon,focused,tense_face,vague,calm,2
348,at one point the tension eased a bit and i wasn't expecting that.,mountain,12,7,5,5,evening,overwhelmed,neutral_face,vague,calm,4
349,Strangely my thoughts were jumping around which surprised me.,ocean,20,4,5,5,afternoon,calm,none,clear,restless,4
350,At one point my mood shifted back and forth which surprised me.,rain,25,4,1,1,night,overwhelmed,happy_face,vague,mixed,4
351,By teh end part of me relaxed while anotehr part stayed busy and I wasn't expecting that.,ocean,18,8,2,4,morning,neutral,calm_face,vague,mixed,1
352,By the end the tension eased a bit so I sat with that feeling.,mountain,12,7,3,2,morning,neutral,neutral_face,conflicted,calm,4
353,After a few minutes my mind kept wandering and I just observed it.,ocean,10,4,5,1,morning,restless,tired_face,vague,restless,3
354,At first my mind felt crowded which surprised me.,forest,15,4,1,1,morning,focused,neutral_face,vague,overwhelmed,3
355,During the session everything still felt heavy though I'm not sure why.,cafe,15,6,4,4,night,mixed,neutral_face,clear,overwhelmed,2
356,Strangely part of me relaxed while another part stayed busy and I tried to notice it.,forest,15,5,5,4,evening,neutral,,conflicted,mixed,2
357,at first i couldn't relax much before moving on.,mountain,20,8,5,5,afternoon,mixed,happy_face,conflicted,overwhelmed,5
358,By the end my mind became quiet though I'm not sure why.,mountain,25,8,5,1,morning,mixed,happy_face,vague,calm,4
359,Honestly I could finally concentrate so I sat with that feeling.,forest,18,7,4,2,morning,overwhelmed,happy_face,vague,focused,1
360,For some reason everything still felt heavy before moving on.,mountain,8,8,5,1,morning,neutral,none,vague,overwhelmed,5
361,Honestly the session passed quietly though I'm not sure why.,ocean,12,8,5,5,night,mixed,none,vague,neutral,1
362,After a few minutes things felt more peaceful though I'm not sure why.,ocean,18,6,1,1,afternoon,overwhelmed,none,conflicted,calm,4
363,gradually my thoughts felt lighter so i sat with that feeling.,rain,25,5,3,1,night,calm,none,conflicted,calm,1
364,Gradually I felt mentally drained but it didn't last long.,mountain,18,7,5,4,afternoon,mixed,none,clear,overwhelmed,1
365,Gradually the pressure didn't really go away even if only briefly.,cafe,20,5,3,4,evening,restless,neutral_face,clear,overwhelmed,4
366,During the session things felt ordinary though I'm not sure why.,cafe,10,5,5,3,evening,mixed,none,conflicted,neutral,2
367,For some reason nothing really changed though I'm not sure why.,cafe,20,7,5,3,night,calm,calm_face,vague,neutral,2
368,By the end things felt more peaceful but it didn't last long.,forest,8,6,2,5,morning,restless,calm_face,conflicted,calm,5
369,I noticed I started planning my day even if only briefly.,cafe,20,4,4,4,night,mixed,happy_face,clear,focused,1
370,By the end my mood shifted back and forth before moving on.,rain,20,6,5,5,afternoon,mixed,tense_face,vague,mixed,2
371,strangely i felt a little calmer but still distracted even if only briefly.,forest,12,5,2,5,evening,calm,none,clear,mixed,1
372,Gradually my thoughts became clearer for a moment.,rain,18,6,1,3,afternoon,focused,happy_face,clear,focused,4
373,I noticed nothing really changed though I'm not sure why.,cafe,12,6,2,5,night,neutral,none,clear,neutral,1
374,Honestly I felt a little calmer but still distracted for a moment. ...,rain,12,7,1,4,evening,neutral,calm_face,conflicted,mixed,3
375,Honestly I didn't notice strong emotions which surprised me.,cafe,8,4,2,5,morning,mixed,,conflicted,neutral,2
376,At first I felt a little calmer but still distracted even if only briefly.,mountain,15,4,2,1,night,mixed,calm_face,clear,mixed,1
377,At one point my thoughts became clearer for a moment.,rain,15,7,4,3,morning,overwhelmed,happy_face,clear,focused,5
378,After a few minutes my breathing slowed down though I'm not sure why.,cafe,12,8,1,3,night,overwhelmed,none,clear,calm,4
379,By the end I started planning my day and I tried to notice it.,cafe,20,5,3,3,morning,neutral,neutral_face,clear,focused,1
380,Gradually my mind became quiet even if only briefly.,cafe,20,6,2,4,afternoon,focused,happy_face,vague,calm,2
381,Gradually my breathing slowed down even if only briefly.,ocean,8,6,1,2,night,restless,none,conflicted,calm,2
382,Gradually my breathing slowed down so I sat with that feeling.,rain,12,8,2,5,evening,restless,neutral_face,clear,calm,3
383,i noticed i could finally concentrate though i'm not sure why.,ocean,15,7,3,3,night,neutral,none,conflicted,focused,1
384,At one point I couldn't sit still mentally and I wasn't expecting that.,ocean,8,8,1,5,night,neutral,calm_face,conflicted,restless,3
385,Honestly it felt like a normal moment though I'm not sure why.,cafe,25,6,2,4,morning,overwhelmed,calm_face,conflicted,neutral,2
386,at one point it felt like a normal moment before moving on.,ocean,25,5,4,3,morning,focused,neutral_face,clear,neutral,3
387,After a few minutes I couldn't sit still mentally even if only briefly.,ocean,15,4,1,3,morning,mixed,none,vague,restless,3
388,Gradually it felt like a normal moment and I tried to notice it.,cafe,25,4,5,3,night,focused,tense_face,vague,neutral,4
389,After a few minutes I felt mentally drained but it didn't last long.,cafe,12,5,2,2,afternoon,restless,calm_face,conflicted,overwhelmed,2
390,At first I couldn't relax much before moving on.,rain,15,4,2,1,afternoon,neutral,neutral_face,conflicted,overwhelmed,5
391,Strangely my breathing slowed down but it didn't last long.,cafe,18,8,1,3,morning,focused,tired_face,vague,calm,2
392,Gradually I started planning my day for a moment.,mountain,12,5,3,4,morning,focused,neutral_face,clear,focused,1
393,At one point I organized my ideas better but it didn't last long.,cafe,18,4,5,5,morning,calm,neutral_face,conflicted,focused,5
394,At one point my mind became quiet though I'm not sure why.,mountain,25,7,4,3,morning,overwhelmed,tired_face,clear,calm,1
395,at one point my thoughts were jumping around and i wasn't expecting that.,cafe,18,8,1,5,morning,overwhelmed,none,vague,restless,4
396,Strangely my thoughts were jumping around for a moment.,forest,12,8,3,4,afternoon,overwhelmed,happy_face,vague,restless,2
397,At one point my thoughts were jumping around and I wasn't expecting that.,cafe,15,5,1,2,night,mixed,calm_face,clear,restless,5
398,at one point i felt mentally drained which surprised me. ...,rain,8,5,4,5,night,calm,,clear,overwhelmed,3
399,After a few minutes my mind became quiet and I tried to notice it.,cafe,18,4,2,4,night,calm,none,conflicted,calm,3
400,Gradually my attention improved even if only briefly.,forest,12,5,1,2,morning,restless,tense_face,conflicted,focused,4
401,By teh end I felt mentally drained which surprised me. ...,cafe,12,8,5,3,evening,restless,neutral_face,vague,overwhelmed,4
402,During the session it felt like a normal moment and I tried to notice it.,forest,12,4,5,3,evening,mixed,tired_face,conflicted,neutral,4
403,Honestly I organized my ideas better for a moment.,rain,15,5,2,3,night,restless,calm_face,conflicted,focused,3
404,at first i organized my ideas better though i'm not sure why.,rain,12,5,5,3,afternoon,mixed,neutral_face,vague,focused,2
405,During the session I started planning my day so I sat with that feeling.,ocean,10,4,1,1,night,neutral,,conflicted,focused,1
406,Gradually the pressure didn't really go away before moving on.,rain,12,7,2,5,evening,overwhelmed,happy_face,clear,overwhelmed,1
407,Honestly things felt ordinary which surprised me.,mountain,10,7,1,5,night,restless,calm_face,conflicted,neutral,2
408,At first the pressure didn't really go away though I'm not sure why.,cafe,10,6,4,5,evening,restless,tired_face,clear,overwhelmed,4
409,For some reason it helped slightly but not completely and I wasn't expecting that.,rain,20,5,1,3,afternoon,neutral,tired_face,clear,mixed,2
410,Honestly part of me relaxed while anotehr part stayed busy but it didn't last long.,ocean,20,8,5,3,night,restless,happy_face,clear,mixed,4
411,After a few minutes my thoughts felt lighter and I wasn't expecting that.,ocean,12,6,3,3,evening,restless,,clear,calm,3
412,By the end my mood shifted back and forth for a moment.,cafe,12,6,3,5,night,mixed,calm_face,vague,mixed,5
413,Strangely I couldn't sit still mentally though I'm not sure why.,mountain,8,4,2,3,afternoon,restless,tense_face,conflicted,restless,3
414,During the session I didn't notice strong emotions though I'm not sure why.,mountain,10,5,1,2,afternoon,mixed,none,conflicted,neutral,1
415,i noticed my thoughts became clearer and i just observed it.,ocean,8,7,5,1,morning,restless,calm_face,conflicted,focused,4
416,By teh end I kept thinking about otehr tasks before moving on.,ocean,8,4,3,3,night,overwhelmed,happy_face,vague,restless,5
417,At one point my mind felt crowded for a moment.,ocean,18,7,5,5,evening,restless,neutral_face,clear,overwhelmed,4
418,I noticed I kept thinking about otehr tasks but it didn't last long.,rain,25,5,3,3,night,neutral,,vague,restless,4
419,I noticed I kept thinking about otehr tasks for a moment.,forest,15,8,4,4,afternoon,focused,none,vague,restless,4
420,At first I organized my ideas better so I sat with that feeling.,rain,20,6,3,5,evening,overwhelmed,calm_face,clear,focused,2
421,Honestly I felt distracted before moving on.,forest,8,5,1,5,morning,focused,tense_face,vague,restless,2
422,after a few minutes i felt a little calmer but still distracted and i just observed it.,mountain,12,7,3,4,morning,restless,,clear,mixed,1
423,at first i felt distracted before moving on.,mountain,15,4,1,2,night,overwhelmed,calm_face,clear,restless,4
424,At one point I felt a little calmer but still distracted before moving on.,forest,10,4,5,5,morning,restless,tense_face,clear,mixed,3
425,At first my thoughts felt lighter and I tried to notice it.,ocean,8,7,2,1,morning,neutral,tired_face,conflicted,calm,5
426,At first I started planning my day but it didn't last long.,rain,25,4,1,3,afternoon,mixed,calm_face,clear,focused,4
427,At one point I could finally concentrate before moving on.,rain,20,5,3,1,night,mixed,tense_face,conflicted,focused,4
428,Strangely my attention improved though I'm not sure why.,cafe,18,8,2,1,afternoon,overwhelmed,tense_face,conflicted,focused,3
429,At one point I couldn't relax much but it didn't last long.,forest,18,5,3,1,night,focused,tired_face,conflicted,overwhelmed,2
430,for some reason i didn't notice strong emotions though i'm not sure why. ...,rain,25,5,2,1,afternoon,calm,calm_face,clear,neutral,5
431,Honestly my mood shifted back and forth for a moment.,mountain,18,4,1,2,night,calm,none,clear,mixed,3
432,For some reason nothing really changed for a moment. ...,mountain,12,4,2,5,morning,calm,happy_face,vague,neutral,2
433,By the end my attention improved but it didn't last long.,cafe,25,8,3,4,night,calm,neutral_face,conflicted,focused,4
434,Strangely things felt ordinary for a moment.,rain,12,6,4,4,evening,neutral,happy_face,clear,neutral,4
435,For some reason I didn't notice strong emotions before moving on. ...,rain,12,8,1,5,afternoon,restless,,clear,neutral,2
436,During the session I felt distracted even if only briefly.,forest,8,7,3,2,afternoon,restless,happy_face,clear,restless,2
437,At first I felt distracted and I tried to notice it. ...,rain,12,7,2,4,morning,neutral,calm_face,conflicted,restless,5
438,After a few minutes the pressure didn't really go away though I'm not sure why.,forest,8,5,5,1,night,calm,calm_face,vague,overwhelmed,5
439,for some reason things felt ordinary so i sat with that feeling.,ocean,15,8,5,5,morning,focused,tired_face,clear,neutral,2
440,Honestly I felt distracted which surprised me.,forest,15,5,2,4,afternoon,overwhelmed,happy_face,clear,restless,5
441,By the end it felt like a normal moment and I just observed it.,cafe,18,4,1,4,night,restless,tense_face,vague,neutral,5
442,During the session I felt a little calmer but still distracted though I'm not sure why.,forest,10,7,1,2,afternoon,mixed,none,clear,mixed,1
443,By the end my mood shifted back and forth but it didn't last long. ...,forest,20,4,3,4,night,calm,none,conflicted,mixed,2
444,At one point I could finally concentrate even if only briefly.,cafe,20,4,4,5,morning,restless,tense_face,clear,focused,5
445,Honestly my mind kept wandering and I just observed it.,forest,20,6,1,1,evening,mixed,tired_face,conflicted,restless,1
446,gradually i felt distracted and i just observed it.,mountain,20,4,1,2,evening,restless,none,clear,restless,1
447,For some reason I kept thinking about other tasks so I sat with that feeling.,rain,8,6,4,1,evening,focused,tired_face,conflicted,restless,2
448,At one point the tension eased a bit so I sat with that feeling.,mountain,12,8,3,4,afternoon,focused,happy_face,conflicted,calm,2
449,At one point I started planning my day and I tried to notice it.,rain,18,5,3,1,morning,focused,neutral_face,conflicted,focused,1
450,I noticed I kept thinking about other tasks before moving on.,mountain,20,6,2,2,morning,focused,happy_face,conflicted,restless,3
451,Gradually it felt like a normal moment for a moment.,cafe,20,7,2,5,night,mixed,neutral_face,vague,neutral,4
452,strangely my mind felt crowded so i sat with that feeling. ...,ocean,12,7,2,2,afternoon,calm,tired_face,conflicted,overwhelmed,4
453,Honestly I felt a little calmer but still distracted and I tried to notice it.,rain,15,6,4,5,morning,neutral,tired_face,clear,mixed,2
454,I noticed nothing really changed even if only briefly.,cafe,10,6,4,4,evening,restless,tired_face,vague,neutral,5
455,strangely my mind became quiet before moving on.,cafe,18,8,2,4,night,restless,neutral_face,vague,calm,5
456,Honestly part of me relaxed while another part stayed busy and I wasn't expecting that.,ocean,10,4,1,1,night,mixed,happy_face,conflicted,mixed,4
457,Gradually I felt a little calmer but still distracted and I tried to notice it.,cafe,12,8,2,2,afternoon,focused,calm_face,vague,mixed,3
458,During the session I couldn't sit still mentally and I just observed it. ...,mountain,25,6,1,4,night,overwhelmed,calm_face,conflicted,restless,4
459,Gradually I organized my ideas better before moving on.,ocean,10,8,3,5,afternoon,calm,calm_face,conflicted,focused,3
